iter	RMSE
0	0.2236400824
1	0.2123217153
2	0.2019791797
3	0.1927898069
4	0.184450099
5	0.1770889091
6	0.1706293925
7	0.1649673963
8	0.1598148843
9	0.1553036552
10	0.1512147943
11	0.1474461708
12	0.1441556617
13	0.1413510181
14	0.1388605776
15	0.1366533339
16	0.1347813922
17	0.1330548456
18	0.1315182912
19	0.1302173008
20	0.1289878935
21	0.1280465677
22	0.1271588664
23	0.1263846571
24	0.1256488269
25	0.1250236906
26	0.1244603118
27	0.1239795069
28	0.1235422193
29	0.1231625213
30	0.1228420768
31	0.1225775792
32	0.1223311591
33	0.1220574547
34	0.1218257035
35	0.121678931
36	0.1215003414
37	0.1213456797
38	0.12120557
39	0.1210682719
40	0.1209513227
41	0.1208439788
42	0.1207225813
43	0.1206051855
44	0.120526795
45	0.120437461
46	0.1203538009
47	0.1202806114
48	0.1202155971
49	0.1201522721
50	0.1200896507
51	0.120019455
52	0.1199769135
53	0.1199138518
54	0.1198711309
55	0.119812187
56	0.1197564604
57	0.1197091331
58	0.1196731726
59	0.1196328715
60	0.119588569
61	0.1195583111
62	0.1195208435
63	0.1194670832
64	0.1194085371
65	0.1193705204
66	0.1193521602
67	0.1193185984
68	0.1192841652
69	0.119260069
70	0.1192271839
71	0.1191843734
72	0.1191675843
73	0.1191298108
74	0.1191054429
75	0.1190895186
76	0.119046234
77	0.1190195567
78	0.118993029
79	0.1189572777
80	0.11892534
81	0.1188956817
82	0.1188692382
83	0.1188315632
84	0.1188251984
85	0.1188013263
86	0.1187871425
87	0.1187488815
88	0.118724273
89	0.1187061949
90	0.118674494
91	0.1186492307
92	0.1186382354
93	0.1186290355
94	0.1186179227
95	0.1185954303
96	0.118580359
97	0.1185606494
98	0.1185306127
99	0.1185011426
100	0.1184748367
101	0.1184628528
102	0.1184464613
103	0.1184289767
104	0.1184011742
105	0.1183823542
106	0.1183614488
107	0.1183406034
108	0.1183181563
109	0.1182858015
110	0.1182747923
111	0.1182459316
112	0.1182417574
113	0.1182066981
114	0.1181869452
115	0.1181437743
116	0.118128181
117	0.118105297
118	0.1180904855
119	0.1180710208
120	0.1180554015
121	0.11804371
122	0.1180327628
123	0.118009013
124	0.1179778617
125	0.1179575816
126	0.117947467
127	0.1179255089
128	0.1179184346
129	0.1178975958
130	0.1178754835
131	0.1178616702
132	0.1178436906
133	0.1178141991
134	0.1177865316
135	0.1177741427
136	0.1177527499
137	0.1177339858
138	0.1177224694
139	0.1177167218
140	0.1177037161
141	0.1176918154
142	0.1176778091
143	0.1176665531
144	0.1176495432
145	0.1176300161
146	0.11762379
147	0.1176107912
148	0.117592427
149	0.1175827574
150	0.1175692066
151	0.1175338428
152	0.1175154361
153	0.1174893133
154	0.1174761006
155	0.1174686167
156	0.1174562965
157	0.1174481723
158	0.1174395704
159	0.1174323805
160	0.1174047548
161	0.1173856146
162	0.1173777077
163	0.117365819
164	0.1173505692
165	0.117343004
166	0.1173303247
167	0.117323981
168	0.1173024111
169	0.1172772204
170	0.1172660551
171	0.1172589572
172	0.1172519815
173	0.1172429693
174	0.1172218424
175	0.1172023845
176	0.1171872972
177	0.117176662
178	0.117167876
179	0.1171527573
180	0.1171424361
181	0.1171348059
182	0.117129704
183	0.1171190185
184	0.1171090251
185	0.1171032859
186	0.117091956
187	0.1170817145
188	0.1170707438
189	0.1170638359
190	0.1170580367
191	0.1170511675
192	0.1170381426
193	0.1170268581
194	0.1170192397
195	0.117011404
196	0.1170021229
197	0.1169972669
198	0.116989337
199	0.1169842351
200	0.1169765661
201	0.116968997
202	0.1169618071
203	0.1169543392
204	0.1169481521
205	0.1169427465
206	0.1169334455
207	0.1169271077
208	0.1169172671
209	0.1168994011
210	0.1168930588
211	0.1168882198
212	0.1168794331
213	0.1168729204
214	0.1168668975
215	0.1168597021
216	0.1168508209
217	0.1168471532
218	0.1168393883
219	0.1168293438
220	0.1168249648
221	0.1168193408
222	0.1168125812
223	0.1168069087
224	0.1167925127
225	0.1167861441
226	0.1167826933
227	0.1167798143
228	0.1167745464
229	0.1167692869
230	0.1167618973
231	0.116746495
232	0.1167428937
233	0.1167383371
234	0.116733019
235	0.1167293423
236	0.1167223748
237	0.1167184902
238	0.1167124622
239	0.1167094464
240	0.1167028095
241	0.1166988418
242	0.1166948286
243	0.1166890042
244	0.1166809705
245	0.116675881
246	0.1166690362
247	0.1166661698
248	0.1166618667
249	0.1166571864
250	0.1166523153
251	0.116647408
252	0.1166436319
253	0.1166380922
254	0.1166339378
255	0.1166303141
256	0.1166269946
257	0.1166221911
258	0.116612386
259	0.1166098361
260	0.1166071524
261	0.1165958145
262	0.1165929231
263	0.116590278
264	0.1165793741
265	0.1165752703
266	0.1165696431
267	0.1165641
268	0.1165587554
269	0.1165543452
270	0.1165494943
271	0.1165451148
272	0.1165373651
273	0.1165338596
274	0.1165308382
275	0.1165279098
276	0.1165248233
277	0.1165210381
278	0.1165165266
279	0.1165112937
280	0.1165048692
281	0.1165000252
282	0.1164974984
283	0.1164954584
284	0.1164901662
285	0.116487591
286	0.1164854277
287	0.1164806399
288	0.1164771504
289	0.1164702514
290	0.1164658581
291	0.1164634994
292	0.1164608573
293	0.1164568635
294	0.1164490092
295	0.11644529
296	0.1164429276
297	0.1164405364
298	0.1164386059
299	0.1164359357
300	0.1164324192
301	0.1164304207
302	0.1164277221
303	0.1164180035
304	0.1164161424
305	0.1164137302
306	0.1164111597
307	0.1164035399
308	0.11639596
309	0.1163915265
310	0.1163886959
311	0.1163860958
312	0.1163837124
313	0.1163803389
314	0.1163780725
315	0.1163736059
316	0.1163663509
317	0.1163585606
318	0.1163563435
319	0.1163534201
320	0.116350132
321	0.1163464788
322	0.1163433891
323	0.1163379209
324	0.1163340116
325	0.1163314489
326	0.1163277226
327	0.1163240385
328	0.1163218581
329	0.1163160389
330	0.1163134797
331	0.1163117352
332	0.1163104658
333	0.1163055226
334	0.1162979726
335	0.1162960045
336	0.1162946058
337	0.1162924246
338	0.1162895584
339	0.1162856416
340	0.1162820363
341	0.1162749916
342	0.1162719948
343	0.1162704746
344	0.1162651338
345	0.1162622724
346	0.1162590603
347	0.1162562078
348	0.1162536996
349	0.1162520216
350	0.1162494744
351	0.1162478049
352	0.1162455912
353	0.1162410651
354	0.116237215
355	0.1162357887
356	0.1162343254
357	0.1162300979
358	0.1162280875
359	0.1162263049
360	0.116220105
361	0.1162152281
362	0.1162125216
363	0.11621114
