iter	Passed	Remaining
0	50	50118
1	52	26339
2	55	18458
3	58	14671
4	62	12489
5	66	11038
6	70	9956
7	74	9229
8	78	8604
9	81	8108
10	85	7662
11	88	7284
12	92	7024
13	96	6767
14	99	6557
15	103	6359
16	106	6179
17	110	6051
18	114	5891
19	117	5761
20	121	5641
21	124	5548
22	128	5456
23	132	5375
24	135	5295
25	139	5216
26	142	5134
27	145	5068
28	149	5003
29	152	4939
30	156	4880
31	159	4833
32	163	4784
33	166	4732
34	169	4685
35	173	4635
36	176	4586
37	179	4542
38	182	4505
39	186	4466
40	189	4427
41	192	4393
42	195	4361
43	198	4322
44	201	4286
45	205	4257
46	208	4229
47	212	4205
48	215	4183
49	218	4153
50	222	4131
51	225	4105
52	228	4083
53	231	4061
54	234	4037
55	238	4014
56	241	3991
57	244	3966
58	247	3943
59	250	3922
60	253	3906
61	256	3886
62	260	3870
63	263	3853
64	266	3832
65	269	3818
66	273	3803
67	276	3789
68	279	3773
69	283	3760
70	286	3747
71	289	3733
72	292	3719
73	296	3705
74	299	3695
75	302	3683
76	306	3670
77	309	3658
78	312	3645
79	316	3636
80	319	3622
81	322	3610
82	325	3597
83	328	3585
84	331	3563
85	334	3553
86	337	3543
87	341	3535
88	344	3527
89	347	3515
90	350	3505
91	354	3500
92	357	3488
93	360	3476
94	363	3465
95	367	3457
96	370	3447
97	373	3436
98	376	3428
99	380	3422
100	383	3413
101	386	3402
102	389	3393
103	392	3384
104	395	3375
105	399	3366
106	402	3358
107	405	3350
108	409	3344
109	412	3337
110	415	3330
111	419	3322
112	422	3312
113	425	3305
114	428	3297
115	431	3291
116	434	3282
117	438	3275
118	441	3267
119	444	3260
120	447	3253
121	451	3246
122	454	3239
123	457	3231
124	460	3226
125	464	3220
126	467	3213
127	470	3207
128	474	3202
129	477	3195
130	480	3189
131	484	3185
132	487	3178
133	491	3173
134	494	3166
135	497	3159
136	500	3155
137	504	3150
138	507	3145
139	511	3140
140	514	3134
141	517	3128
142	520	3121
143	524	3117
144	527	3112
145	530	3105
146	534	3100
147	537	3095
148	540	3089
149	544	3083
150	547	3078
151	550	3072
152	554	3069
153	557	3063
154	560	3058
155	564	3053
156	567	3046
157	570	3040
158	573	3035
159	577	3030
160	580	3024
161	583	3019
162	587	3014
163	590	3009
164	593	3004
165	596	2997
166	599	2992
167	603	2986
168	606	2980
169	609	2977
170	613	2972
171	616	2966
172	619	2962
173	622	2956
174	626	2951
175	629	2945
176	632	2940
177	635	2934
178	638	2929
179	641	2923
180	644	2917
181	648	2912
182	651	2907
183	654	2902
184	657	2895
185	660	2890
186	663	2885
187	667	2880
188	670	2875
189	673	2870
190	676	2865
191	679	2859
192	682	2855
193	686	2851
194	689	2847
195	692	2842
196	696	2837
197	699	2832
198	702	2827
199	705	2823
200	708	2817
201	711	2812
202	715	2807
203	718	2802
204	721	2796
205	724	2792
206	727	2788
207	731	2783
208	734	2779
209	737	2774
210	741	2771
211	744	2766
212	747	2762
213	750	2758
214	754	2753
215	757	2748
216	760	2745
217	764	2741
218	767	2736
219	770	2732
220	773	2727
221	777	2723
222	780	2718
223	783	2713
224	786	2709
225	789	2705
226	793	2701
227	796	2697
228	800	2693
229	803	2689
230	806	2685
231	810	2682
232	813	2678
233	817	2675
234	820	2669
235	823	2666
236	827	2662
237	830	2657
238	833	2653
239	836	2649
240	839	2645
241	843	2640
242	846	2636
243	849	2633
244	853	2628
245	856	2624
246	859	2620
247	862	2616
248	866	2612
249	869	2608
250	872	2604
251	876	2600
252	879	2596
253	882	2592
254	886	2589
255	889	2585
256	892	2581
257	896	2578
258	899	2574
259	903	2570
260	906	2566
261	909	2561
262	912	2557
263	916	2553
264	919	2549
265	922	2545
266	925	2540
267	928	2536
268	932	2532
269	935	2528
270	938	2524
271	941	2520
272	944	2516
273	948	2512
274	951	2508
275	954	2504
276	957	2500
277	961	2496
278	964	2492
279	967	2488
280	970	2484
281	974	2480
282	977	2476
283	980	2472
284	984	2468
285	987	2464
286	990	2461
287	994	2458
288	997	2453
289	1000	2449
290	1003	2445
291	1007	2441
292	1010	2437
293	1013	2432
294	1016	2428
295	1019	2424
296	1022	2420
297	1025	2416
298	1028	2412
299	1032	2408
300	1035	2404
301	1038	2401
302	1042	2397
303	1045	2393
304	1048	2389
305	1051	2385
306	1054	2380
307	1058	2377
308	1061	2373
309	1064	2370
310	1068	2366
311	1071	2361
312	1074	2358
313	1077	2354
314	1080	2350
315	1084	2346
316	1087	2342
317	1090	2338
318	1093	2334
319	1096	2330
320	1099	2325
321	1102	2321
322	1105	2317
323	1108	2313
324	1112	2309
325	1115	2305
326	1118	2301
327	1122	2298
328	1125	2294
329	1128	2290
330	1131	2287
331	1134	2283
332	1138	2279
333	1140	2275
334	1144	2271
335	1147	2267
336	1150	2263
337	1153	2259
338	1156	2255
339	1160	2252
340	1163	2248
341	1166	2244
342	1169	2240
343	1173	2237
344	1176	2233
345	1179	2229
346	1182	2225
347	1185	2221
348	1188	2217
349	1192	2213
350	1204	2227
351	1209	2226
352	1213	2223
353	1216	2220
354	1220	2216
355	1224	2214
356	1227	2210
357	1230	2207
358	1234	2203
359	1237	2199
360	1240	2196
361	1244	2192
